0x0003F4,0x0003F5
0x010300,0x01031E
0x010320,0x010323
0x010330,0x01034A
0x010400,0x010425
0x010428,0x01044D
0x01D000,0x01D0F5
0x01D100,0x01D126
0x01D12A,0x01D1DD
0x01D400,0x01D454
0x01D456,0x01D49C
0x01D49E,0x01D49F
0x01D4A2
0x01D4A5,0x01D4A6
0x01D4A9,0x01D4AC
0x01D4AE,0x01D4B9
0x01D4BB
0x01D4BD,0x01D4C0
0x01D4C2,0x01D4C3
0x01D4C5,0x01D4FF
0x01D500,0x01D505
0x01D507,0x01D50A
0x01D50D,0x01D514
0x01D516,0x01D51C
0x01D51E,0x01D539
0x01D53B,0x01D53E
0x01D540,0x01D544
0x01D546
0x01D54A,0x01D550
0x01D552,0x01D5FF
0x01D600,0x01D6A3
0x01D6A8,0x01D6FF
0x01D700,0x01D7C9
0x01D7CE,0x01D7FF
0x020000, 0x02A6D6
0x02F800, 0x02FA1D
0x0E0001
0x0E0020,0x0E007F
0x0F0000, 0x0FFFFD
0x100000, 0x10FFFD
