;A.3.4       302 BMP SECOND EDITION

Plane 00

00         20-7E A0-FF
01         00-FF
02         00-1F 22-33 50-AD B0-EE
03         00-4E 60-62 74-75 7A 7E 84-8A 8C 8E-A1 A3-CE D0-D7 DA-F3
04         00-86 88-89 8C-C4 C7-C8 CB-CC D0-F5 F8-F9
05         31-56 59-5F 61-87 89-8A 91-A1 A3-B9 BB-C4 D0-EA F0-F4
06         0C 1B 1F 21-3A 40-55 60-6D 70-ED F0-FE
07         00-0D 0F-2C 30-4A 80-B0
09         01-03 05-39 3C-4D 50-54 58-70 81-83 85-8C 8F-90 93-A8 AA-B0 B2 B6-B9 BC BE-C4 C7-C8 CB-CD D7 DC-DD DF-E3 E6-FA
0A         02 05-0A 0F-10 13-28 2A-30 32-33 35-36 38-39 3C 3E-42 47-48 4B-4D 59-5C 5E 66-74 81-83 85-8B 8D 8F-91 93-A8 AA-B0 B2-B3 B5-B9 BC-C5 C7-C9 CB-CD D0 E0 E6-EF
0B         01-03 05-0C 0F-10 13-28 2A-30 32-33 36-39 3C-43 47-48 4B-4D 56-57 5C-5D 5F-61 66-70 82-83 85-8A 8E-90 92-95 99-9A 9C 9E-9F A3-A4 A8-AA AE-B5 B7-B9 BE-C2 C6-C8 CA-CD D7 E7-F2
0C        01-03 05-0C 0E-10 12-28 2A-33 35-39 3E-44 46-48 4A-4D 55-56 60-61 66-6F 82-83 85-8C 8E-90 92-A8 AA-B3 B5-B9 BE-C4 C6-C8 CA-CD D5-D6 DE E0-E1 E6-EF
0D        02-03 05-0C 0E-10 12-28 2A-39 3E-43 46-48 4A-4D 57 60-61 66-6F 82-83 85-96 9A-B1 B3-BB BD C0-C6 CA CF-D4 D6 D8-DF F2-F4
0E         01-3A 3F-5B 81-82 84 87-88 8A 8D 94-97 99-9F A1-A3 A5 A7 AA-AB AD-B9 BB-BD C0-C4 C6 C8-CD D0-D9 DC-DD
0F         00-47 49-6A 71-8B 90-97 99-BC BE-CC CF
10         00-21 23-27 29-2A 2C-32 36-39 40-59 A0-C5 D0-F6 FB
11         00-59 5F-A2 A8-F9
12         00-06 08-46 48 4A-4D 50-56 58 5A-5D 60-86 88 8A-8D 90-AE B0 B2-B5 B8-BE C0 C2-C5 C8-CE D0-D6 D8-EE F0-FF
13         00-0E 10 12-15 18-1E 20-46 48-5A 61-7C A0-F4
14-15    1401-15FF
16         00-76 80-9C A0-F0
17         80-DC E0-E9
18         00-0E 10-19 20-77 80-A9
1E         00-9B A0-F9
1F         00-15 18-1D 20-45 48-4D 50-57 59 5B 5D 5F-7D 80-B4 B6-C4 C6-D3 D6-DB DD-EF F2-F4 F6-FE
20         00-46 48-4D 6A-70 74-8E A0-AF D0-E3
21         00-3A 53-83 90-F3
22         00-F1
23         00-7B 7D-9A
24         00-26 40-4A 60-EA
25         00-95 A0-F7
26         00-13 19-71
27         01-04 06-09 0C-27 29-4B 4D 4F-52 56 58-5E 61-67 76-94 98-AF B1-BE
28         00-FF
2E         80-99 9B-F3
2F         00-D5 F0-FB
30         00-3A 3E-3F 41-94 99-9E A1-FE
31         05-2C 31-8E 90-B7
32         00-1C 20-43 60-7B 7F-B0 C0-CB D0-FE
33         00-76 7B-DD E0-FE
34-4D   3400-4DB5
4E-9F    4E00-9FA5
A0-A3    A000-A3FF
A4         00-8C 90-A1 A4-B3 B5-C0 C2-C4 C6
AC-D7   AC00-D7A3
E0-F8    E000-F8FF
F9-FA    F900-FA2D
FB         00-06 13-17 1D-36 38-3C 3E 40-41 43-44 46-B1 D3-FF
FC         00-FF
FD        00-3F 50-8F 92-C7 F0-FB
FE         20-23 30-44 49-52 54-66 68-6B 70-72 74 76-FC FF
FF         01-5E 61-BE C2-C7 CA-CF D2-D7 DA-DC E0-E6 E8-EE F9-FD
