;A.6.7       308 UNICODE 5.1

Plane 00

00         20-7E A0-FF
01-02    0100-02FF
03         00-77 7A-7E 84-8A 8C 8E-A1 A3-FF
04         00-FF
05         00-23 31-56 59-5F 61-87 89-8A 91-C7 D0-EA F0-F4
06         00-03 06-1B 1E-1F 21-5E 60-FF
07         00-0D 0F-4A 4D-B1 C0-FA
09         01-39 3C-4D 50-54 58-72 7B-7F 81-83 85-8C 8F-90 93-A8 AA-B0 B2 B6-B9 BC-C4 C7-C8 CB-CE D7 DC-DD DF-E3 E6-FA
0A         01-03 05-0A 0F-10 13-28 2A-30 32-33 35-36 38-39 3C 3E-42 47-48 4B-4D 51 59-5C 5E 66-75 81-83 85-8D 8F-91 93-A8 AA-B0 B2-B3 B5-B9 BC-C5 C7-C9 CB-CD D0 E0-E3 E6-EF F1
0B         01-03 05-0C 0F-10 13-28 2A-30 32-33 35-39 3C-44 47-48 4B-4D 56-57 5C-5D 5F-63 66-71 82-83 85-8A 8E-90 92-95 99-9A 9C 9E-9F A3-A4 A8-AA AE-B9 BE-C2 C6-C8 CA-CD D0 D7 E6-FA
0C        01-03 05-0C 0E-10 12-28 2A-33 35-39 3D-44 46-48 4A-4D 55-56 58-59 60-63 66-6F 78-7F 82-83 85-8C 8E-90 92-A8 AA-B3 B5-B9 BC-C4 C6-C8 CA-CD D5-D6 DE E0-E3 E6-EF F1-F2
0D        02-03 05-0C 0E-10 12-28 2A-39 3D-44 46-48 4A-4D 57 60-63 66-75 79-7F 82-83 85-96 9A-B1 B3-BB BD C0-C6 CA CF-D4 D6 D8-DF F2-F4
0E         01-3A 3F-5B 81-82 84 87-88 8A 8D 94-97 99-9F A1-A3 A5 A7 A8-AA AD-B9 BB-BD C0-C4 C6 C8-CD D0-D9 DC-DD
0F         00-47 49-6C 71-8B 90-97 99-BC BE-CC CE-D4
10         00-99 9E-C5 D0-FC
11         00-59 5F-A2 A8-F9
12         00-48 4A-4D 50-56 58 5A-5D 60-88 8A-8D 90-B0 B2-B5 B8-BE C0 C2-C5 C8-D6 D8-FF
13         00-10 12-15 18-5A 5F-7C 80-99 A0-F4
14-15    1401-15FF
16         00-76 80-9C A0-F0
17         00-0C 0E-14 20-36 40-53 60-6C 6E-70 72-73 80-DD E0-E9 F0-F9
18         00-0E 10-19 20-77 80-AA
19         00-1C 20-2B 30-3B 40 44-6D 70-74 80-A9 B0-C9 D0-D9 DE-FF
1A         00-1B 1E-1F
1B         00-4B 50-7C 80-AA AE-B9
1C        00-37 3B-49 4D-7F
1D        00-E6 FE-FF
1E         00-FF
1F         00-15 18-1D 20-45 48-4D 50-57 59 5B 5D 5F-7D 80-B4 B6-C4 C6-D3 D6-DB DD-EF F2-F4 F6-FE
20         00-64 6A-71 74-8E 90-94 A0-B5 D0-F0
21         00-4F 53-88 90-FF
22         00-FF
23         00-E7
24         00-26 40-4A 60-FF
25         00-FF
26         00-9D A0-BC C0-C3
27         01-04 06-09 0C-27 29-4B 4D 4F-52 56 58-5E 61-94 98-AF B1-BE C0-CA CC D0-FF
28-2A    2800-2AFF
2B         00-4C 50-54
2C         00-2E 30-5E 60-6F 71-7D 80-EA F9-FF
2D        00-25 30-65 6F 80-96 A0-A6 A8-AE B0-B6 B8-BE C0-C6 C8-CE D0-D6 D8-DE E0-FF
2E         00-30 80-99 9B-F3
2F         00-D5 F0-FB
30         00-3F 41-96 99-FF
31         05-2D 31-8E 90-B7 C0-E3 F0-FF
32         00-1E 20-43 50-FE
33         00-FF
34-4C    3400-4CFF
4D        00-B5 C0-FF
4E-9F    4E00-9FC3
A0-A3    A000-A3FF
A4         00-8C 90-C6
A5         00-FF
A6         00-2B 40-5F 62-73 7C-97
A7         00-8C FB-FF
A8         00-2B 40-77 80-C4 CE-D9
A9         00-53 5F
AA        00-36 40-4D 50-59 5C-5F
AC-D7   AC00-D7A3
E0-F8    E000-F8FF
F9         00-FF
FA         00-2D 30-6A 70-D9
FB         00-06 13-17 1D-36 38-3C 3E 40-41 43-44 46-B1 D3-FF
FC         00-FF
FD        00-3F 50-8F 92-C7 F0-FD
FE         00-19 20-26 30-52 54-66 68-6B 70-74 76-FC FF
FF         01-BE C2-C7 CA-CF D2-D7 DA-DC E0-E6 E8-EE F9-FD

Plane 01

00         00-0B 0D-26 28-3A 3C-3D 3F-4D 50-5D 80-FA
01         00-02 07-33 37-8A 90-9B D0-FD
02         80-9C A0-D0
03         00-1E 20-23 30-4A 80-9D 9F-C3 C8-D5
04         00-9D A0-A9
08         00-05 08 0A-35 37-38 3C 3F
09         00-19 1F-39 3F
0A         00-03 05-06 0C-13 15-17 19-33 38-3A 3F-47 50-58
20-22    2000-22FF
23         00-6E
24         00-62 70-73
D0        00-F5
D1        00-26 29-DD
D2        00-45
D3        00-56 60-71
D4        00-54 56-9C 9E-9F A2 A5-A6 A9-AC AE-B9 BB BD-C3 C5-FF
D5        00-05 07-0A 0D-14 16-1C 1E-39 3B-3E 40-44 46 4A-50 52-FF
D6        00-A5 A8-FF
D7        00-CB CE-FF
F0         00-2B 30-93

Plane 02
00-A6    0000-A6D6
F8-FA    F800-FA1D

Plane 0E
00         01 20-7F
01         00-EF

Plane 0F
00-FF    0000-FFFD

Plane 10

00-FF    0000-FFFD

